zip_code,city,county
6001,Avon,Hartford County
6002,Bloomfield,Hartford County
6010,Bristol,Hartford County
6011,Bristol,Hartford County
6013,Unionville,Hartford County
6013,Burlington,Hartford County
6016,Windsorville,Hartford County
6016,Broad Brook,Hartford County
6018,Canaan,Litchfield County
6019,Collinsville,Hartford County
6019,Canton,Hartford County
6020,Canton Center,Hartford County
6021,Colebrook,Litchfield County
6022,Collinsville,Hartford County
6023,East Berlin,Hartford County
6024,East Canaan,Litchfield County
6025,East Glastonbury,Hartford County
6026,East Granby,Hartford County
6027,East Hartland,Hartford County
6028,East Windsor Hill,Hartford County
6029,Ellington,Tolland County
6031,Falls Village,Litchfield County
6032,Farmington,Hartford County
6033,Glastonbury,Hartford County
6034,Farmington,Hartford County
6035,Granby,Hartford County
6037,Kensington,Hartford County
6037,Berlin,Hartford County
6039,Lakeville,Litchfield County
6040,Manchester,Hartford County
6043,Bolton,Tolland County
6043,Manchester,Tolland County
6045,Manchester,Hartford County
6049,Melrose,Hartford County
6050,New Britain,Hartford County
6051,New Britain,Hartford County
6052,New Britain,Hartford County
6053,New Britain,Hartford County
6057,New Hartford,Litchfield County
6058,Norfolk,Litchfield County
6059,North Canton,Hartford County
6060,North Granby,Hartford County
6061,Pine Meadow,Litchfield County
6062,Plainville,Hartford County
6063,Pleasant Valley,Litchfield County
6063,Winsted,Litchfield County
6063,Barkhamsted,Litchfield County
6064,Poquonock,Hartford County
6065,Riverton,Litchfield County
6066,Vernon Rockville,Tolland County
6067,Rocky Hill,Hartford County
6068,Salisbury,Litchfield County
6069,Sharon,Litchfield County
6070,Simsbury,Hartford County
6071,Somers,Tolland County
6072,Somersville,Tolland County
6073,South Glastonbury,Hartford County
6074,South Windsor,Hartford County
6075,Stafford,Tolland County
6076,Stafford Spgs,Tolland County
6076,Stafford Springs,Tolland County
6077,Staffordville,Tolland County
6078,Suffield,Hartford County
6079,Taconic,Litchfield County
6081,Tariffville,Hartford County
6082,Enfield,Hartford County
6083,Enfield,Hartford County
6084,Tolland,Tolland County
6085,Unionville,Hartford County
6088,East Windsor,Hartford County
6089,Weatogue,Hartford County
6090,West Granby,Hartford County
6091,West Hartland,Hartford County
6092,West Simsbury,Hartford County
6093,West Suffield,Hartford County
6094,Winchester Center,Litchfield County
6095,Windsor,Hartford County
6096,Windsor Locks,Hartford County
6098,Winchester Center,Litchfield County
6098,Winsted,Litchfield County
6101,Hartford,Hartford County
6102,Hartford,Hartford County
6103,Hartford,Hartford County
6104,Hartford,Hartford County
6105,Hartford,Hartford County
6106,Hartford,Hartford County
6107,Hartford,Hartford County
6107,West Hartford,Hartford County
6108,East Hartford,Hartford County
6108,Hartford,Hartford County
6109,Hartford,Hartford County
6109,Wethersfield,Hartford County
6110,Hartford,Hartford County
6110,West Hartford,Hartford County
6111,Hartford,Hartford County
6111,Newington,Hartford County
6112,Hartford,Hartford County
6114,Hartford,Hartford County
6115,Hartford,Hartford County
6117,Hartford,Hartford County
6117,West Hartford,Hartford County
6118,East Hartford,Hartford County
6118,Hartford,Hartford County
6119,Hartford,Hartford County
6119,West Hartford,Hartford County
6120,Hartford,Hartford County
6123,Hartford,Hartford County
6126,Hartford,Hartford County
6127,Hartford,Hartford County
6127,West Hartford,Hartford County
6128,East Hartford,Hartford County
6128,Hartford,Hartford County
6129,Hartford,Hartford County
6129,Wethersfield,Hartford County
6131,Hartford,Hartford County
6131,Newington,Hartford County
6132,Hartford,Hartford County
6133,Hartford,Hartford County
6133,West Hartford,Hartford County
6134,Hartford,Hartford County
6137,Bishops Corner,Hartford County
6137,Hartford,Hartford County
6137,West Hartford,Hartford County
6138,Silver Lane,Hartford County
6138,East Hartford,Hartford County
6138,Hartford,Hartford County
6140,Hartford,Hartford County
6141,Hartford,Hartford County
6142,Hartford,Hartford County
